Year,country,Regestartions
2020,PRI,1
2020,SDN,1
2020,SLE,1
2020,NPL,1
2020,MDG,1
2019,PRY,1
2019,PYF,1
2019,PLW,1
2019,NIC,1
2019,NAM,1
2018,ARM,1
2018,BWA,1
2018,CYM,1
2018,ECU,1
2018,ETH,1
