Year,meal,Profit Without Meal Cost,Profit With Meal Cost
2020,BB,7235830.47,6437430
2020,HB,2099396.71,1846009.36
2020,SC,994054.1,645594.1
2020,Undefined,109576.85,109576.85
2020,FB,76067.93,67881.05
2019,BB,9436618.33,8225015.05
2019,HB,1964282.48,1679562.84
2019,SC,814118.98,493312.48
2019,Undefined,108703.7,108703.7
2019,FB,119084.2,101276.7
2018,BB,2704192.87,2320779.38
2018,HB,823561.23,701715.86
2018,FB,71524.27,61172.48
2018,SC,67793.87,38393.87
2018,Undefined,15463.96,15463.96
